1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;;;;;;;;;;;;;;
;;;AU per cluster 2026;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CBS;Naam;Prov;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
233;Ermelo;5; 7.294.010 ; 4.592.961 ; 9.118.022 ; 10.841.544 ; 11.520.863 ; 3.792.672 ; 5.581.143 ; 8.650.465 ; 9.896.123 ; 3.116.839 ; -4.995.251 ; -8.639.577 ; 60.769.814 
243;Harderwijk;5; 14.524.029 ; 9.720.844 ; 14.379.938 ; 23.564.887 ; 19.295.738 ; 7.359.867 ; 9.506.596 ; 18.012.856 ; 13.756.379 ; 251.906 ; -8.886.010 ; -14.053.918 ; 107.433.111 
244;Hattem;5; 2.961.734 ; 1.591.999 ; 3.393.989 ; 5.349.774 ; 5.474.259 ; 1.553.765 ; 1.495.370 ; 3.636.158 ; 3.739.908 ; -305.721 ; -2.263.143 ; -3.062.632 ; 23.565.460 
246;Heerde;5; 4.426.714 ; 2.523.905 ; 6.208.337 ; 8.547.800 ; 7.860.428 ; 2.320.745 ; 2.866.873 ; 5.004.054 ; 6.555.247 ; 844.234 ; -3.428.009 ; -4.633.120 ; 39.097.209 
252;Heumen;5; 3.898.260 ; 2.671.869 ; 4.672.572 ; 5.782.382 ; 7.016.733 ; 2.185.947 ; 1.803.000 ; 4.191.109 ; 5.458.051 ; 334.756 ; -2.994.025 ; -4.226.695 ; 30.793.959 
1705;Lingewaard;5; 11.124.208 ; 6.530.691 ; 12.562.304 ; 19.403.392 ; 18.248.894 ; 5.866.278 ; 6.476.035 ; 12.590.484 ; 12.526.794 ; 896.473 ; -8.467.298 ; -11.349.344 ; 86.408.911 
262;Lochem;5; 8.174.070 ; 5.021.650 ; 12.244.882 ; 12.951.156 ; 13.635.949 ; 4.708.266 ; 4.865.774 ; 9.504.280 ; 14.092.508 ; -177.304 ; -6.093.528 ; -10.044.703 ; 68.882.999 
263;Maasdriel;5; 5.754.407 ; 3.344.259 ; 6.490.215 ; 10.777.435 ; 10.302.722 ; 3.471.569 ; 2.970.472 ; 6.212.842 ; 10.695.266 ; -517.220 ; -4.668.165 ; -6.713.407 ; 48.120.394 
1955;Montferland;5; 8.947.276 ; 6.165.524 ; 12.841.495 ; 18.566.910 ; 14.403.133 ; 4.940.311 ; 5.634.607 ; 10.497.900 ; 12.775.823 ; -00 ; -6.569.418 ; -8.137.359 ; 80.066.201 
1740;Neder-Betuwe;5; 5.592.388 ; 3.515.215 ; 5.487.353 ; 12.212.709 ; 9.997.733 ; 3.095.972 ; 4.647.420 ; 6.151.402 ; 8.738.234 ; -00 ; -4.577.959 ; -5.767.884 ; 49.092.584 
267;Nijkerk;5; 11.495.479 ; 6.116.930 ; 11.276.873 ; 18.021.269 ; 17.418.796 ; 5.828.862 ; 7.425.013 ; 13.805.955 ; 13.980.460 ; 207.187 ; -8.118.548 ; -13.837.749 ; 83.620.528 
268;Nijmegen;5; 66.170.702 ; 68.314.486 ; 68.389.745 ; 114.380.637 ; 72.151.332 ; 32.857.889 ; 33.427.840 ; 87.582.447 ; 49.728.019 ; -22.694.991 ; -33.562.170 ; -55.905.283 ; 480.840.653 
302;Nunspeet;5; 7.293.312 ; 4.450.312 ; 8.593.931 ; 13.256.363 ; 11.666.238 ; 3.764.253 ; 5.097.639 ; 8.629.143 ; 9.797.457 ; -00 ; -5.219.346 ; -8.104.859 ; 59.224.444 
269;Oldebroek;5; 5.616.859 ; 3.946.107 ; 6.572.488 ; 11.206.496 ; 9.668.759 ; 3.056.371 ; 3.364.638 ; 6.383.648 ; 8.516.611 ; -00 ; -4.335.752 ; -5.818.993 ; 48.177.232 
1586;Oost Gelre;5; 7.354.513 ; 4.303.492 ; 9.182.551 ; 13.185.136 ; 11.925.105 ; 3.778.352 ; 4.712.211 ; 9.035.019 ; 11.837.311 ; -00 ; -5.335.655 ; -8.206.299 ; 61.771.738 
1509;Oude IJsselstreek;5; 9.941.746 ; 8.530.440 ; 14.624.884 ; 22.018.248 ; 15.350.185 ; 5.254.881 ; 5.635.518 ; 11.580.205 ; 13.793.974 ; -1.901.633 ; -7.013.879 ; -10.074.799 ; 87.739.769 
1734;Overbetuwe;5; 11.447.388 ; 7.284.574 ; 11.458.675 ; 19.109.305 ; 18.647.299 ; 6.309.430 ; 7.944.851 ; 12.677.580 ; 15.126.221 ; 2.745.294 ; -8.691.215 ; -14.693.694 ; 89.365.709 
273;Putten;5; 6.218.157 ; 3.068.329 ; 7.651.816 ; 10.043.012 ; 10.076.088 ; 3.119.344 ; 3.269.713 ; 7.394.977 ; 8.759.635 ; -00 ; -4.430.930 ; -7.176.237 ; 47.993.903 
274;Renkum;5; 7.542.955 ; 6.452.943 ; 11.312.055 ; 12.316.818 ; 12.593.949 ; 4.376.002 ; 4.920.263 ; 8.261.464 ; 8.060.382 ; 538.248 ; -5.591.712 ; -8.119.601 ; 62.663.765 
